Month,Weekly_Sales
2,24924.5
2,11737.12
2,13223.76
2,46729.77
2,21249.31
2,32229.38
2,12251.94
2,115564.35
2,64494.87
2,24146.49
2,10217.55
2,106690.06
2,50605.27
2,39954.04
2,15694.17
2,40129.01
2,20837.77
2,76419.47
2,19466.91
2,56655.39
2,32153.04
2,11501.46
2,62424.14
2,13740.12
2,11875.84
2,30052.75
2,13623.98
2,19484.03
2,41969.29
2,66780.63
2,11609.5
2,30721.5
2,98499.12
2,139884.94
2,24213.18
2,10891.37
2,10887.84
2,36080.86
2,18826.47
2,36476.4
2,13403.66
2,22812.41
2,39254.57
2,35351.21
2,18310.31
2,18129.02
2,18892.81
2,21760.75
2,16309.73
2,14700.59
2,29620.81
2,16562.49
2,16139.05
2,16720.84
2,20949.36
2,70202.02
2,37334.83
2,30694.25
2,13268.75
2,62329.48
2,60828.25
2,10050.92
2,33874.47
2,94136.35
2,11857.96
2,31494.77
2,12852.83
2,14807.95
2,66937.0
2,111390.36
2,44682.74
2,79455.64
2,46039.49
2,11873.89
2,19006.5
2,17614.47
2,143081.42
2,79636.32
2,11523.47
2,62581.64
2,38717.6
2,19985.2
2,31585.78
2,37857.68
2,34141.62
2,15918.98
2,12087.95
2,10271.25
2,33593.8
2,13485.61
2,98672.59
2,13917.2
2,26468.27
2,28784.91
2,36826.95
2,20275.45
2,17491.36
2,15880.85
2,17404.53
2,13855.54
2,47928.89
2,17623.72
2,72212.32
2,68569.53
2,16736.17
2,41595.55
2,18706.21
2,20195.2
2,22414.94
2,29634.13
2,13006.5
2,10547.6
2,72377.79
2,21381.85
2,63011.44
2,12290.16
2,76091.36
2,107952.07
2,135066.75
2,16411.69
2,33309.85
2,16245.13
2,10871.74
2,35318.2
2,10667.06
2,11135.17
2,57630.02
2,16708.1
2,12005.0
2,37467.32
2,24101.89
2,92755.59
2,13330.89
2,44292.87
2,34660.16
2,10218.67
2,17224.22
2,64328.29
2,28457.31
2,17798.37
2,19023.33
2,12881.02
2,32299.49
2,17306.61
2,27921.96
2,55501.07
2,15673.94
2,15175.52
2,57335.17
2,19403.54
2,16118.26
2,103652.58
2,18099.75
2,28213.79
2,55590.73
2,71718.48
2,125048.08
3,38776.09
3,42931.77
3,10903.65
3,12275.58
3,10345.5
3,23082.14
3,19974.91
3,19659.7
3,63550.08
3,17129.81
3,16445.28
3,21827.9
3,19082.9
3,108282.86
3,48397.98
3,33299.27
3,15680.71
3,31576.47
3,62755.71
3,18993.69
3,29957.47
3,112807.75
3,12571.5
3,38086.19
3,78081.85
3,12657.65
3,65525.74
3,18268.78
3,40423.95
3,67000.83
3,13824.33
3,24064.7
3,20565.45
3,10239.06
3,30800.98
3,16120.04
3,132945.44
3,59201.37
3,10123.45
3,10705.75
3,31197.12
3,32668.67
3,29272.13
3,43751.94
